team_id:101428372602011186, elo:-1424.728231767901
team_id:101383792891050518, elo:-1343.2642929556064
team_id:105505619546859895, elo:-844.2202159817072
team_id:98767991930907107, elo:-819.4534463378815
team_id:103495716836203404, elo:-637.0279706214594
team_id:105594163014588871, elo:-629.631296239619
team_id:105521419784127190, elo:-611.2006484892424
team_id:98926509883054987, elo:-520.060886282881
team_id:105503535895066182, elo:-517.5731117554825
team_id:102747101562758215, elo:-515.6001144441842
team_id:102747101565183056, elo:-503.77138452968376
team_id:107251231972989211, elo:-502.5768837226051
team_id:103535282113853330, elo:-478.8721275746408
team_id:108361563004344389, elo:-458.4175799437434
team_id:108517492697602721, elo:-453.2390514970425
team_id:99566406069969565, elo:-446.8545615038467
team_id:99566404581868574, elo:-441.7350666740862
team_id:102787200130988976, elo:-399.7772163331189
team_id:105550024238752685, elo:-392.6545092072487
team_id:101428372607057464, elo:-313.5337804646021
team_id:109828279319224248, elo:-310.4579870379866
team_id:107635420167535818, elo:-253.04766769376485
team_id:105663527959374033, elo:-251.28282658811622
team_id:105519846782566525, elo:-206.60922655460226
team_id:105550051809743868, elo:-200.62312035331325
team_id:107598704067400262, elo:-194.53427262404742
team_id:105550036134585264, elo:-178.5932499436972
team_id:105550003470349739, elo:-122.52617072955866
team_id:107581761958954646, elo:-120.6263662576942
team_id:105521504308341229, elo:-95.29626213789558
team_id:98767991916844003, elo:-92.91457656225076
team_id:105515109012592449, elo:-90.94486640594018
team_id:108319257932089006, elo:-45.23647535296743
team_id:109671193729027761, elo:-25.544063319583223
team_id:101428372603715124, elo:-22.249517151754038
team_id:106827823550343961, elo:-17.423343725148783
team_id:99566406070802758, elo:-15.3411240177481
team_id:107564135791716115, elo:-11.767327900898074
team_id:101428372830010965, elo:-10.787045006554216
team_id:107599188771591359, elo:24.41015488248842
team_id:105521239281281237, elo:25.418288657786412
team_id:103877891572305836, elo:44.97623411471137
team_id:105594101461473671, elo:46.78981841164732
team_id:107258254469504696, elo:51.03011078741527
team_id:107599089191671351, elo:62.6215884817096
team_id:105548019132871601, elo:81.61344219605061
team_id:107599174108436104, elo:85.63101507033693
team_id:104843437139220481, elo:86.87311561356793
team_id:101428372598668846, elo:95.85972377619073
team_id:105593213115128994, elo:98.88470681431643
team_id:105593161016793151, elo:101.81977877731883
team_id:107581209070519555, elo:108.9260580864161
team_id:106827848618374543, elo:114.77282374788903
team_id:101383792887446028, elo:115.13853474479791
team_id:105503848339138647, elo:120.33594181678347
team_id:102787200138722262, elo:122.90102844830825
team_id:105521293297166647, elo:126.6641065463239
team_id:105503948999800557, elo:128.23467074290176
team_id:107437032053655867, elo:132.3247527975322
team_id:107598878262940546, elo:134.55986514661876
team_id:99566404585387054, elo:138.79252097945283
team_id:104710359142494900, elo:139.96100286437945
team_id:108319669531442279, elo:141.78123245895955
team_id:105594176887807460, elo:159.2950278398729
team_id:106269859169658575, elo:160.36376223262295
team_id:105520826536746180, elo:175.6670652783019
team_id:98926509884398584, elo:181.36148426374666
team_id:105593278887024877, elo:194.58256916541814
team_id:99322214695067838, elo:196.1564421660602
team_id:109672618694070633, elo:219.62580392647558
team_id:106371176555003349, elo:240.46508141446117
